,OriginalTweet,Sentiment,cleaned
708,"https://t.co/eJwDzqWoq8 3M N95 masks for sale. And many other n95 varieties. USA &amp; global shipping. Visit us free now! Great prices.
#n95 #CoronaOutbreak #Covid_19

https://t.co/9S10qhJTf8 https://t.co/eHNlSRaeX7",Extremely Positive,http co ejwdzqwoq n mask sale mani n varieti usa amp global ship visit us free great price n coronaoutbreak covid http co qhjtf http co ehnlsraex
2046,"PSA: Despite the pandemic declaration &amp; increasing #Covid_19 cases in ?? there's no reason at all to panic (and stock up on food &amp; tissues)

Just keep calm &amp; follow the guidelines laid out by @KKMPutrajaya ?Always practice good hygiene &amp; avoid large/public gatherings if unwell https://t.co/Z71KcpAHvs",Negative,psa despit pandem declar amp increa covid case reason panic stock food amp tissu keep calm amp follow guidelin laid kkmputrajaya alway practic good hygien amp avoid larg publ gather unwel http co z kcpahv
933,"I just returned from the grocery store.  Shelves are half-empty, no toilet paper, no ground beef, no cleaning supplies and lines to the middle of the aisles with all registers open.  
This is going to get nuts. 
#Covid_19 #CoronaVirusUpdate #CoronavirusPandemic",Extremely Negative,return groceri store shelv half empti toilet paper ground beef clean suppli line middl aisl regist open thi go get nut covid coronavirusupd coronaviruspandem
3295,COVID-19 is just feeding my online shopping addiction ?,Neutral,covid feed onlin shop addict
1688,"@BBCNWT went shopping this am. Took a trolley into the supermarket, filled it with food etc for the next week, left the trolley for the next person ? Should stores be providing wipes to clean the handles? #Covid_19",Positive,bbcnwt went shop thi took trolley supermarket fill food etc next week left trolley next person store provid wipe clean handl covid
203,Small reminder: stock up on bar soap for your local food pantry/ place of worship. Our guests at our feeding ministry have asked for it (more portable than liquid hand soap) &amp; they need to stay safe from covid-19 too.,Extremely Positive,small remind stock bar soap local food pantri place worship guest feed ministri ask portabl liquid hand soap amp need stay safe covid
3061,"A friendly reminder about some updates here at GLB relating to COVID-19 (Sunday/Monday)

Sunday March 15
Â The Wavy Wall Craft Kitchen will be closed
Â Retail store &amp; taproom will remain open

Monday March 16
Â The retail store and taproom will be closed 

https://t.co/Y5ISifbJoJ https://t.co/EAbTvqocjd",Positive,friendli remind updat glb relat covid sunday monday sunday march wavi wall craft kitchen close retail store amp taproom remain open monday march retail store taproom close http co isifbjoj http co eabtvqocjd
1197,"ItÂs always good to be prepared! Make sure you have what you need if you become ill. Stock up on items like:

?Non-perishable food items
?Personal hygiene items
?Daily personal medications
?Pet supplies

??What to do if you become sick: https://t.co/znoXt1Itf5 #COVID19 https://t.co/MEqB9fXeLs",Positive,alway good prepar make sure need becom ill stock item like non perish food item person hygien item daili person medic pet suppli becom sick http co znoxt itf covid http co meqb fxel
2870,"My #SundayMorning message. If no emergency, #StayTheFHome ÂStock up on non-perishable food to minimize trips to store. Pls donÂt be greedy &amp; take all the water, food &amp;?We are in this together. IÂve seen people hoarding everything they can fit in grocery?Stop it. #coronavirus",Extremely Negative,sundaymorn messag emerg staythefhom stock non perish food minim trip store pl greedi amp take water food amp w thi togeth v seen peopl hoard everyth fit groceri stop coronaviru
2515,"Boomers: WE HAVE TO STOCK UP ON FOOD AND TOILET PAPER NOW
Millennials and Gen Z: *creates a Spotify playlist titled ÂCOVID-19Â*",Positive,boomer stock food toilet paper millenni gen z creat spotifi playlist titl covid
92,Wash your hands more often for 20 seconds with soap and water. Or use hand sanitiser.,Positive,wash hand often second soap water use hand sanitis
2488,"@mamafooce @CNN @CillizzaCNN TheyÂre closed in my area in Texas as well. Now IÂm tripping over kids in the grocery store, mall, parks, restaurants. These people arenÂt staying home. So whatÂs the point?? #SocialDistancing #COVID2019 #CloseTheSchools",Positive,mamafooc cnn cillizzacnn r close area texa well trip kid groceri store mall park restaur peopl stay home point socialdistanc covid closetheschool
167,"LOOK: Panic buying at a supermarket in Makati, Manila as the #Philippines announces 16 more cases of #COVID2019 One shop worker told me queues are twice as long as normal. Hand sanitiser and cleaning alcohol is in short supply. #CoronaVirusUpdate https://t.co/qEi40H4cHz",Neutral,look panic buy supermarket makati manila philippin announc case covid one shop worker told queue twice long normal hand saniti clean alcohol short suppli coronavirusupd http co qei h chz
3653,"If you arenÂt disabled/elderly, please donÂt use the grocery delivery services and instead go to the store if you can. LetÂs not backlog these systems for those who may need them most during #coronavirus. This virus is teaching us weÂre all interconnected regardless of privilege",Positive,disabl elderli plea use groceri deliveri servic instead go store let backlog system may need dure coronaviru thi viru teach us r interconnect regardless privileg
794,"This is a clip that challenges road behaviour and compares it with a similar behaviour in a supermarket.

With some of the behaviour I witnessed at some supermarkets today, maybe this ad might need a rethink?

Folks..please calm down!
There is no shortage of goods atm!
#Covid_19 https://t.co/0155PM02AV",Positive,thi clip challeng road behaviour compar similar behaviour supermarket behaviour wit supermarket today mayb thi ad might need rethink folk plea calm shortag good atm covid http co pm av
2114,"If youÂre going to go and panic buy and strip shelves bare of basic food items, please leave something in the food bank collection points. 

There are people who donÂt have the disposable income available to fill their cupboards.

#Covid_19 #Corona #Coronavirus",Negative,r go go panic buy strip shelv bare basic food item plea leav someth food bank collect point peopl dispo incom avail fill cupboard covid corona coronaviru
1003,"I coughed at the grocery store tonight. This dude looked like he wanted to stab me! Like chill bro, I got allergies! I swear ?? #Covid_19 #coronavirus #allergies",Neutral,cough groceri store tonight thi dude look like want stab like chill bro got allergi swear covid coronaviru allergi
8,"HI TWITTER! I am a pharmacist. I sell hand sanitizer for a living! Or I do when any exists. Like masks, it is sold the fuck out everywhere. SHOULD YOU BE WORRIED? No. Use soap. SHOULD YOU VISIT TWENTY PHARMACIES LOOKING FOR THE LAST BOTTLE? No. Pharmacies are full of sick people.",Extremely Negative,hi twitter pharmacist sell hand sanit live ani exist like mask sold fuck everywher worri use soap visit twenti pharmaci look last bottl pharmaci full sick peopl
2898,"IÂm shopping at my local grocery store, looking at empty shelves, and a thought hit me. Companies should send out reps to retail stores and see what product is selling. Because for some of you, even during an apocalypse your stuff doesnÂt sell. #coronavirus #coronapocolypse",Negative,shop local groceri store look empti shelv thought hit compani send rep retail store see product sell becau even dure apocalyp stuff sell coronaviru coronapocolyp
2697,"Trying to do my weekly online delivery as I can't carry shopping bags or walk around a supermarket and the following is totally gone:

Toilet roll
Handwash
Dettol products 
Pasta
Paracetamol and ibuprofen

This is a necessity for many. Stop hoarding. #coronavirus",Negative,tri weekli onlin deliveri carri shop bag walk around supermarket follow total gone toilet roll handwash dettol product pasta paracetamol ibuprofen thi necess mani stop hoard coronaviru
1974,"Day 1 of #coronapocalypse. Reporting from Alexandria, VA. Today I went to urgent care, a grocery store, and the pharmacy. Urgent care was empty (I was the only patient) and the stores were crazy packed. #Covid_19",Extremely Positive,day coronapocalyps report alexandria va today went urgent care groceri store pharmaci urgent care wa empti wa onli patient store crazi pack covid
3463,"While other european countries are under lockdown, here in Sweden life goes on Normal. I went out in Uppsala (approx 70km from Stockholm). Elderly people moving normally,  schools and businesses open, overcrowded grocery store, no one wearing mask. #Coronasverige #COVID2019",Negative,european countri lockdown sweden life goe normal went uppsala approx km stockholm elderli peopl move normal school busi open overcrowd groceri store one wear mask coronasverig covid
2381,"Internet prices need to make low at this moment.
@Dhiraagu @OoredooMaldives @ali20waheed @faya_i @MoEDmv #COVID2019",Negative,internet price need make low thi moment dhiraagu ooredoomald ali wahe faya moedmv covid
375,"#Oil prices will keep falling until Russia or Saudi Arabia hit Âpain point.Â
#bakarainvest 
#Covid_19
https://t.co/fYGry4dFV1",Negative,oil price keep fall russia saudi arabia hit pain point bakarainvest covid http co fygri dfv
3381,"One of these pics is from the apocalypse film World War Z.
The other is from a UK supermarket.

#Covid_19 #covid19UK https://t.co/41e5T9bxAL",Negative,one pic apocalyp film world war z uk supermarket covid covid uk http co e bx
913,"@business producers exploiting the fear from #Covid_19 ..prices rises 1000X for hand sanitizers, masks/toilet papers/rice/canned food/beans....hackers are a bit late jumping into the party,  as #CoronaOutbreak went global... wh/ all of them goods are  mad",Negative,busi produc exploit fear covid price rise x hand sanit mask toilet paper rice food bean hack bit late jump parti coronaoutbreak went global wh good mad
1584,"The workers keeping SamÂs Club, Costco, Walmart, Target, and any other grocery store running in this country deserve a round of applause! 

#Covid_19",Positive,worker keep sam club costco walmart target ani groceri store run thi countri deserv round applaus covid
100,"@NileshShah68 I have summarized the most important points from the paper in this thread:
https://t.co/dTZg4vg8VM",Positive,nileshshah summar import point paper thi thread http co dtzg vg vm
127,"And what food products should I stock up on? Canned meats? Have many veggies &amp; fruit already. More noodles &amp; rice? Wish I felt safe about fresh stuff but I don't. Maybe more dried fruit.

What else?

#Coronavirus Stockpile thoughts...",Positive,food product stock meat mani veggi amp fruit alreadi noodl amp rice wish felt safe fresh stuff mayb dri fruit els coronaviru stockpil thought
334,"*Rap Beat*

SheÂs the Covid 19
Self Isolation Queen
More toilet paper in her hands than I have ever seen,
This supermarket scene
Perhaps a tad extreme
She Turns and whispers darkly that 

ItÂs For The Quarantine 

-Mary in  the Tesco Queue Volume 1

As you were
#Covid_19",Negative,rap beat covid self isol queen toilet paper hand ever seen thi supermarket scene perhap tad extrem turn whisper darkli quarantin mari tesco queue volum covid
723,I think the @nba postponing the season just kicked off the official panic button in this country. Heading to wal mart now. Stock up people! Food is about to look like the toilet paper aisles!!!! #coronavirus #covid19 #pandemic,Negative,think nba postpon season kick offici panic button thi countri head wal mart stock peopl food look like toilet paper aisl coronaviru covid pandem
3199,Walmart &amp; Sam's are showing low stock here in the Northern Rockies. Some bottled water is available. Not much if any TP. Yeast is gone. Eggs are scarce. The places to go are now the smaller food stores. You will pay more but you can still get supplies. #COVID?19 #coronavirus,Negative,walmart amp sam show low stock northern rocki bottl water avail much ani tp yeast gone egg scarc place go smaller food store pay still get suppli covid coronaviru
3040,1 meter rule #italy #distantimauniti #supermarket #covid_19 https://t.co/y9VYuJxS49,Neutral,meter rule itali distantimaun supermarket covid http co vyujx
2952,The number of companies taking advantage of the COVID-19 outbreak is sad. The emails IÂm getting prompting online shopping and continuing to make people work to distribute these products is ridiculous,Negative,number compani take advantag covid outbreak sad email get prompt onlin shop continu make peopl work distribut product ridicul
233,"Target begins rationing items that are flying off the shelves during the coronavirus outbreak; institutes new store cleaning policies:

https://t.co/ida2iWD9sZ

#Rockville #Rkv #MoCo #DC #coronavirus #COVID2019 #COVID19 #retail #Maryland #MontgomeryCounty https://t.co/N5ISPOIHeF",Neutral,target begin ration item fli shelv dure coronaviru outbreak institut new store clean polici http co ida iwd sz rockvil rkv moco dc coronaviru covid covid retail maryland montgomerycounti http co n ispoihef
2377,"Well. My life is about to solely be about work for a while.

Due to mass panic of covid-19, my store is going to be asking people to work 6 days a week. Come in early, stay late and come in on days off.

So yeah, if there was a time to not be shitty to retail folk. Its now.",Positive,well life sole work due mass panic covid store go ask peopl work day week come earli stay late come day yeah wa time shitti retail folk
2249,"@AskTarget ""coronavirus (COVID-19) testing in select retail locations"" people can get tested in the parking lot? If found positive would a entire store have to shut down due to exposure from the guest(s). Answer at least one of my question.",Positive,asktarget coronaviru covid test select retail locat peopl get test park lot found posit would entir store shut due exposur guest answer least one question
3634,The most up to date list of store closures,Neutral,date list store closur
457,Trump Derangement Syndrome is spreading faster and more severe then the Coronavirus Imodium and toilet paper being sold on the street at redickuless prices. $10 a roll for single ply #CoronavirusPandemic #Covid_19 #CoronaVirusUpdate #toiletpaper #ToiletPaperApocalypse #Trump2020,Negative,trump derang syndrom spread faster sever coronaviru imodium toilet paper sold street redickuless price roll singl pli coronaviruspandem covid coronavirusupd toiletpap toiletpaperapocalyp trump
3092,"@SylvesterTurner Also global retail stores are either adjusting their store hours or closing temporarily til the end of the month, so why not follow in their footsteps to keep everyone safe?! Please donÂt be the cause of the virus spreading by not taking",Extremely Positive,sylvesterturn also global retail store either adjust store hour close temporarili til end month whi follow footstep keep everyon safe plea cau viru spread take
2706,"@WhiteHouse @realDonaldTrump @POTUS what are doing to put food and supplies back in grocery stores? Oh right..... the stock market, oil companies, airlines and resorts are your first priority right #WorstPresidentInHistory #coronavirus",Neutral,whiteh realdonaldtrump potu put food suppli back groceri store oh right stock market oil compani airlin resort first prioriti right worstpresidentinhistori coronaviru
